player_id,year,team,is_finals,games_played,kicks,marks,handballs,disposals,goals,behinds,hit_outs,tackles,rebound_50s,inside_50s,clearances,clangers,free_kicks_for,free_kicks_against,brownlow_votes,contested_possessions,uncontested_possessions,contested_marks,marks_inside_50,one_percenters,bounces,goal_assists,total_score,total_fantasy_points,total_percentage_played,avg_kicks,avg_marks,avg_handballs,avg_disposals,avg_goals,avg_behinds,avg_hit_outs,avg_tackles,avg_rebound_50s,avg_inside_50s,avg_clearances,avg_clangers,avg_free_kicks_for,avg_free_kicks_against,avg_contested_possessions,avg_uncontested_possessions,avg_contested_marks,avg_marks_inside_50,avg_one_percenters,avg_bounces,avg_goal_assists,avg_score,avg_fantasy_points,avg_percentage_played,id,player_name,player_full_name,first_name,last_name,born_date,debut_date,debut_age,last_date,last_age,height,weight,profile_pic,player_link,player_common_names,player_teams
43410,2013,Fremantle Dockers,False,22,166.0,83.0,189.0,355.0,10.0,6.0,0.0,134.0,8.0,40.0,48.0,43.0,18.0,20.0,0.0,168.0,192.0,6.0,11.0,30.0,4.0,7.0,66,1685,1848.0,7.5,3.8,8.6,16.1,0.5,0.3,0.0,6.1,0.4,1.8,2.2,2.0,0.8,0.9,7.6,8.7,0.3,0.5,1.4,0.2,0.3,3.0,76.6,84.0,,,,,,,,,,,,,,,,
43410,2013,Fremantle Dockers,True,3,6.0,4.0,27.0,33.0,0.0,1.0,0.0,11.0,0.0,2.0,3.0,3.0,0.0,1.0,0.0,17.0,16.0,0.0,1.0,6.0,0.0,0.0,1,126,210.0,2.0,1.3,9.0,11.0,0.0,0.3,0.0,3.7,0.0,0.7,1.0,1.0,0.0,0.3,5.7,5.3,0.0,0.3,2.0,0.0,0.0,0.3,42.0,70.0,,,,,,,,,,,,,,,,
43410,2014,Fremantle Dockers,False,13,87.0,42.0,122.0,209.0,4.0,1.0,1.0,74.0,11.0,21.0,33.0,25.0,7.0,10.0,0.0,102.0,105.0,3.0,4.0,14.0,0.0,7.0,25,930,929.0,6.7,3.2,9.4,16.1,0.3,0.1,0.1,5.7,0.8,1.6,2.5,1.9,0.5,0.8,7.8,8.1,0.2,0.3,1.1,0.0,0.5,1.9,71.5,71.5,,,,,,,,,,,,,,,,
43410,2014,Fremantle Dockers,True,1,9.0,0.0,4.0,13.0,0.0,1.0,0.0,4.0,1.0,4.0,3.0,3.0,1.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,1.0,1,53,38.0,9.0,0.0,4.0,13.0,0.0,1.0,0.0,4.0,1.0,4.0,3.0,3.0,1.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,53.0,38.0,,,,,,,,,,,,,,,,
43410,2015,Fremantle Dockers,False,17,76.0,49.0,132.0,208.0,4.0,2.0,2.0,93.0,12.0,16.0,27.0,37.0,9.0,23.0,0.0,90.0,123.0,2.0,5.0,9.0,5.0,6.0,26,979,1016.0,4.5,2.9,7.8,12.2,0.2,0.1,0.1,5.5,0.7,0.9,1.6,2.2,0.5,1.4,5.3,7.2,0.1,0.3,0.5,0.3,0.4,1.5,57.6,59.8,,,,,,,,,,,,,,,,
43410,2015,Fremantle Dockers,True,2,16.0,6.0,26.0,42.0,0.0,0.0,0.0,13.0,1.0,8.0,4.0,9.0,2.0,5.0,0.0,17.0,24.0,0.0,0.0,1.0,0.0,0.0,0,157,162.0,8.0,3.0,13.0,21.0,0.0,0.0,0.0,6.5,0.5,4.0,2.0,4.5,1.0,2.5,8.5,12.0,0.0,0.0,0.5,0.0,0.0,0.0,78.5,81.0,,,,,,,,,,,,,,,,
43410,2016,Fremantle Dockers,False,4,17.0,11.0,43.0,60.0,1.0,0.0,1.0,27.0,3.0,2.0,8.0,5.0,4.0,3.0,0.0,23.0,39.0,0.0,1.0,4.0,0.0,1.0,6,280,305.0,4.3,2.8,10.8,15.0,0.3,0.0,0.3,6.8,0.8,0.5,2.0,1.3,1.0,0.8,5.8,9.8,0.0,0.3,1.0,0.0,0.3,1.5,70.0,76.3,,,,,,,,,,,,,,,,
43410,2017,Greater Western Sydney Giants,False,12,51.0,32.0,109.0,160.0,6.0,2.0,0.0,46.0,4.0,14.0,10.0,20.0,7.0,12.0,0.0,58.0,100.0,1.0,4.0,6.0,1.0,8.0,38,660,893.0,4.3,2.7,9.1,13.3,0.5,0.2,0.0,3.8,0.3,1.2,0.8,1.7,0.6,1.0,4.8,8.3,0.1,0.3,0.5,0.1,0.7,3.2,55.0,74.4,,,,,,,,,,,,,,,,
43410,2017,Greater Western Sydney Giants,True,3,14.0,7.0,33.0,47.0,2.0,1.0,0.0,24.0,0.0,7.0,3.0,4.0,0.0,3.0,0.0,21.0,26.0,0.0,1.0,2.0,1.0,1.0,13,229,256.0,4.7,2.3,11.0,15.7,0.7,0.3,0.0,8.0,0.0,2.3,1.0,1.3,0.0,1.0,7.0,8.7,0.0,0.3,0.7,0.3,0.3,4.3,76.3,85.3,,,,,,,,,,,,,,,,
43410,2018,Greater Western Sydney Giants,False,13,94.0,49.0,166.0,260.0,12.0,6.0,0.0,52.0,15.0,28.0,22.0,30.0,8.0,12.0,0.0,104.0,157.0,3.0,10.0,14.0,0.0,11.0,78,1019,1081.0,7.2,3.8,12.8,20.0,0.9,0.5,0.0,4.0,1.2,2.2,1.7,2.3,0.6,0.9,8.0,12.1,0.2,0.8,1.1,0.0,0.8,6.0,78.4,83.2,,,,,,,,,,,,,,,,
