player_id,year,team,games_played,feat_prev_cpi,feat_prev_disposals,feat_prev_goals,feat_prev_games,feat_career_seasons,feat_position_proxy,target_is_top_disposal,target_is_top_goal,target_is_top_cpi,target_cpi_raw
45131,2021,North Melbourne Kangaroos,3,40.39999999999999,21.3,0.3,3.0,8,Midfielder,0,0,0,17.349999999999998
45132,2021,Western Bulldogs,5,,,,,0,General,0,0,0,19.2
45132,2022,Western Bulldogs,16,19.2,7.0,1.4,5.0,1,Forward,0,0,0,21.300000000000004
45132,2023,Western Bulldogs,23,21.300000000000004,7.9,1.1,16.0,2,General,0,0,0,28.75
45132,2024,Western Bulldogs,21,28.75,11.3,1.5,23.0,3,Forward,0,1,0,34.300000000000004
45133,2012,Greater Western Sydney Giants,1,,,,,0,General,0,0,0,20.0
45133,2013,Greater Western Sydney Giants,2,20.0,5.0,1.0,1.0,1,General,0,0,0,18.75
45134,2001,Fremantle Dockers,4,,,,,0,General,0,0,0,11.149999999999999
45135,2012,COLLINGWOOD MAGPIES,3,,,,,0,General,0,0,0,12.5
45136,2014,essendon bombers,1,,,,,0,General,0,0,0,22.0
45137,2004,North Melbourne Kangaroos,3,,,,,0,General,0,0,0,11.249999999999998
45137,2005,North Melbourne Kangaroos,2,11.249999999999998,5.3,0.0,3.0,1,General,0,0,0,27.5
45137,2006,North Melbourne Kangaroos,2,27.5,10.0,0.0,2.0,2,General,0,0,0,17.75
45138,2008,North Melbourne Kangaroos,13,,,,,0,General,0,0,0,27.400000000000002
45138,2009,North Melbourne Kangaroos,18,27.400000000000002,15.1,0.0,13.0,1,Defender,0,0,0,33.25000000000001
45138,2010,North Melbourne Kangaroos,8,33.25000000000001,17.0,0.0,18.0,2,Defender,0,0,0,31.0
45138,2011,North Melbourne Kangaroos,1,31.0,14.8,0.4,8.0,3,Defender,0,0,0,6.0
45139,2008,Melbourne Demons,9,,,,,0,General,0,0,0,35.25
45139,2009,Melbourne Demons,6,35.25,17.1,0.3,9.0,1,General,0,0,0,41.199999999999996
45140,2023,Gold Coast Suns,3,,,,,0,General,0,0,0,14.750000000000002
45140,2024,Gold Coast Suns,21,14.750000000000002,8.3,0.0,3.0,1,Defender,0,0,0,32.5
45140,2025,Gold Coast Suns,23,32.5,14.9,0.0,21.0,2,Defender,0,0,0,34.55
45141,2015,Melbourne Demons,14,,,,,0,General,0,0,0,40.85
45141,2016,Melbourne Demons,14,40.85,16.8,0.4,14.0,1,Midfielder,0,0,0,33.05
45141,2018,Melbourne Demons,4,33.05,14.6,0.9,14.0,2,General,0,0,0,37.75000000000001
